Review,label
"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.",positive
Amazing camera quality,positive
"SUPER

12 MINI TO 15 😍😍😍",positive
I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for it,positive
Loved this product ❤️❤️,positive
Simply wow wow wow 😍❤️,positive
Awesome...,neutral
"A fantastic product.

I was an iPhone 13 user I have upgraded to this. Brilliant display. I can see a great difference in battery backup. I can also say that the Dynamic Island helps in UI to the users. Looks premium. Price range might drop in a year.
Thanks for Flipkart sale days.",positive
Super!,positive
Brilliant,positive
Value-for-money,neutral
Awesome,positive
Wonderful,positive
Wonderful,positive
Awesome,positive
Wonderful,positive
Worth every penny,positive
Best in the market!,positive
Awesome phone ❤️,positive
Nice,positive
Awesome😍switch from android to iOS,neutral
"You have to charge it 3 times atleast if you use it as a primary phone

Otherwise the phone is yoo",neutral
"Camera quality are too Great
Display awesome
Battery is average
Design is very nice
Overall very good",positive
Superb... Shifted from Android to iPhone 15..classs👍,neutral
"This is an amazing phone and back side of phone is frozen glass which makes it less prone to finger marks while holding. Till now enjoying it, will update with further details after a week.",positive
"Battery is worst!

I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem!",negative
"Amazing product❤️❤️
Best iPhone out of all the iPhone series",positive
Nice,positive
Awesome,positive
Must buy!,neutral
Just wow!,positive
Simply awesome,positive
Fabulous!,positive
Worth every penny,positive
Just wow!,positive
Wonderful,positive
Perfect product!,positive
Just wow!,positive
Light weight phone. Camera and sound is fine and performance is highly appreciable.,positive
"Loved it👍🏻.
Great performance and not facing any kind of heating problem. Impressed by battery performance.",positive
"The phone is pretty awesome! Switching from android to ios. Smooth performance, amazing camera and battery backup so far is great. Worth it!",positive
Fully satisfied 👍🏻,positive
Good product,positive
v v good,positive
"This mobile is phenomenal, I like the camera most",positive
"Upgraded from iPhone 11, The camera quality is awesome
The display quality is great and the dynamic island working perfectly
Happy with Apple and Flipkart",positive
Goood phone,neutral
Awesome product,positive
Worth every penny,positive
Wonderful,positive
Excellent,positive
Does the job,neutral
Worth every penny,positive
Super!,positive
Must buy!,neutral
Excellent,positive
Excellent,positive
Mind-blowing purchase,neutral
Really its the best and richest design 😍,positive
Nice Colour,positive
Camera is so good,positive
"Nice product
Best phone 📱",positive
"I have been an Android phone user since ever, until now.
The matte frosting on the back is marvelous and doesn't attract fingerprints or smudges.
I love the form factor as it's one hand friendly.
For better gaming experience users should opt for the plus size.
The screen is great with excellent outdoor visibility. The battery life is crazy good especially the standby time. Barely sips anything overnight. I am using an Android fast charger to charge this and the charging time is decent, no is...
READ MORE",positive
Very good. Happy with the product. Camera quality and performance is amazing.,positive
"Best phone i have ever used in terms of performance, photography and other features.",positive
"Everything lovely
Just for the first time u wont feel much difference b/w pro and non pro model iphones.",positive
"I was sceptical of online purchase but I was wrong I got what I ordered
Best phone ever",positive
Awesome experience. thanks to flipkart,positive
Brilliant,positive
Terrific,positive
Wonderful,positive
Wonderful,positive
Nice product,positive
Mind-blowing purchase,neutral
Wonderful,positive
Wonderful,positive
Fabulous!,positive
Excellent,positive
"Not giving a fast refresh rate is really a bad idea.
Shame on you apple...with this range of phone this kind of average feature should have been given.",negative
"Pros
48MP Camera With 2x Zoom.
Dynamic Island.
USB-C Port.
Superb Design and Premium Build.

Cons
Only 60Hz Display Refresh Rate.
Slow Charging.
No Action Button.
No Always-on Display.

Rating
Camera - 4.5/5
Battery - 4/5
Performance - 4.5/5
Charging - 4/5
Display - 4/5
Design and Build - 4.5/5
Sound - 4/5
Software - 4.5/5
Value For Money - 4/5
Overall Experience - 4.5/5

Hit Like 👍 Button If This Review Really Helps You.",positive
Design and performance is good. But somehow I felt the quality and standard is not the same as it used to be. It does heat up while charging and prolonged usage. This is unexpected and unacceptable. Also there are connectivity issues with Apple CarPlay.,negative
"Coming from iphone 12 mini.
Camera is definitely a upgrade over the previous generation.
Design outside remains the same. Pastel colours with matte finish.
The Dynamic Island is what i liked for the notification part.
Processor of previous generation pro models.
Overall a value for money among the 15 models.
Got it a great deal in flipkart clubbing exchange and bank offers.
Delivery was on time.",positive
"iPhone 15 impresses with sleek design, powerful performance, and stunning camera upgrades. A technological leap forward, delivering a top-tier experience. 😍😊👍",positive
Gud product,neutral
"Best in class Device, Apple never ceases to Amaze customers. Lightweight and sleek look. Matte back finish helps with a fine grip.",positive
Apple iPhone 15 blue 128GB GOOD MOBILE phone Name Aarif khan Alwar Rajasthan Indian,positive
"I have been using this phone since two months.
And this phone is amazing.

Camera- 10/10
Display- 10/10
Performance- 10/10
Battery- 9.5/10",positive
Nice device!,positive
Nice,positive
Wonderful,positive
Just okay,positive
Must buy!,neutral
Wonderful,positive
Mind-blowing purchase,neutral
Awesome..,neutral
Awesome,positive
Super!,positive
Wonderful,positive
The phone heats a lot even with light usage.,neutral
Very nice,positive
"Design n Build Quality is Best in Class.
Performance is amazing.
Camera is Good.",positive
Very nice product☺️☺️we loved the phone very much,positive
"Not giving a fast refresh rate is really a bad idea.
Shame on you apple...with this range of phone this kind of average feature should have been given.",negative
Overall same,neutral
Awesome quality,positive
"The best part of camera is cinematic video which is fabulous. Rest of the things are good, but cinematic mode is on next level, higher rate is missing which may hurt phone noise cancellation is on. Also next level. Some small small features which make sweet point to use and make it different from android efforts of making iOS and developing some sweet sweet things are appreciable and if you have MacBook or iPad, ecosystem work, fantastically the best things for this iPhone is much much better...
READ MORE",positive
Hated it!,negative
Terrific,positive
Delightful,positive
Good choice,positive
Nice,positive
Fabulous!,positive
Great product,positive
Just wow!,positive
"Camera quality are too Great
Display awesome
Battery is average
Design is very nice
Overall very good",positive
"-Wonderful performance
-Camera quality is superb
-battery backup not that good
-sound quality is awesome",positive
Best photo for iPhone 15,positive
Switched from Redmi 12 5G to Iphone 15 . It feels like I have never used Phone. Totally Worth It and the Feeling of using Iphone is Super Awesome.,positive
Amazing one_____😍😘✌️,positive
Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium image,positive
Fabulous!,positive
Awesome,positive
Great product,positive
Best in the market!,positive
Excellent,positive
Classy product,positive
"Upgraded from iPhone 11, The camera quality is awesome
The display quality is great and the dynamic island working perfectly
Happy with Apple and Flipkart",positive
This is my first iphone ever used loving it already this is worth it 🥰,positive
"Best mobile phone
Camera quality is very nice
Battery backup is very good
Sound quality is amazing.",positive
Overall performance is best.Good aesthetic and nice color. Only thing worries me that it gets really hot with increase of brightness and during 15 min video call..,positive
"Everything lovely
Just for the first time u wont feel much difference b/w pro and non pro model iphones.",positive
"Switching Android to ios awesome experience,I just love it . And thanks Flipkart for open box delivery option.",positive
Awesome camra quality superb camra 😊,positive
"Mind blowing purchase, I received the right item. Thank you Flipkart.
If telling about iPhone its value for money
Great camera and video. 5/5
Display 5/5
Sound and heroics 5/5
Overall good.",positive
Excellent,positive
Simply awesome,positive
Worth the money,positive
Good quality product,positive
Wonderful,positive
Terrific purchase,positive
Really Nice,positive
Terrific,positive
"What a phone super performance with light weight.
Please find my details review as follows.
1. Camera - camera is super with very gud quality photo even at night as well.
2. Battery - battery backup is fine and will last for one day long.
3. Performance - iphone 15 performance is super. No lagging and no heating issue.
Cons-
1. Battery could be better at this price range.
2. Face recognition is not good as not always open with face ID",positive
"A great phone with quality display 60Hz, average to good battery backup, speaker same as 14, camera is very good in this segment, performance toooo good for this compact sized phone almost never heated much except for charging and bgmi though normal for every phone. Dynamic island animations are great though not a fan of it still better than notch. And design is amazing very premium.",positive
The best one from apple💙,positive
Very good,positive
First time experiencing I phone. It feels premium and quality is awesome love it ❤️❤️❤️,positive
Camera quality is not good images and videos are not clear.,negative
"Overall, I'm very happy with the phone. It's a great all-around phone with a powerful processor, a long-lasting battery, and a great camera. I would definitely recommend it to anyone looking for a new phone.",positive
Must buy!,neutral
Highly recommended,positive
Great product,positive
Must buy!,neutral
Perfect product!,positive
Slightly disappointed,negative
Fabulous!,positive
"Amazing. This is my second iphone after 11 pro.
Used it for 3 days till now. No heating issue. While setting up the device/updating ios/transferring data - it didn't heat at all. Smooth experience. Best buy for 2024.",positive
Amazing,positive
Look and design very nice,positive
"Amazing phone But
Now days Chapri people Drop apple's brand value.",positive
"Pros:
1. Incredibly smart device this year
2. iOS interface
3. Data Privacy
4. Premium build quality
5. Dynamic Island
6. Ecosystem benefits if you own other Apple devices
7. Powerful processor

Cons:
1. 60Hz refresh rate for a flagship (although not very noticeable)
2. No improvements to Siri
3. Expensive
4. Low possibility of repair",positive
Awesome quality I am very happy. Thank you Flipkart.,positive
"Bought it from flipkart, as I was getting the best price here!",positive
Super!,positive
Terrific purchase,positive
Wonderful,positive
Awesome,positive
Awesome,positive
Classy product,positive
Just wow!,positive
"The best in class iphone. Many people may mock iPhone, but everyone have to accept that iPhone has the best in class features and technology. It is obviously not fair to compare iPhone and android because each have its own pros and cons. Seeing the features that iPhone provide at this price point is really of premium level and I am pretty sure you are gonna enjoy using this awesome device.
Speaking about specs, iPhone 15 has the best camera till date, the best display, awesome battery managem...
READ MORE",positive
super 👌👌👌👌👌,positive
As Expected 🤣😂🫣,neutral
Super!,positive
Best in the market!,positive
Worth every penny,positive
"It is a really good phone for daily tasks. The cameras are great 48mp photos are very sharp and detailed. You can relay on this phone for 5 years. I have other apple products and the ecosystem is also great. Everything works seamlessly.

For those who are switching from android:
Battery life is good in this phone but compared to my previous phone which had 4500mAh battery I have to charge this phone 2 times in a day almost after limiting the battery to 80%.
Overall it is a great phone the v...
READ MORE",positive
Heating issue,neutral
Excellent!!!,positive
"Awesome.

Camera too good
Display too good
Battery Good
Feels too good",positive
Very good deal and fastest delivery in next day.,positive
"Super
Good Product",positive
Simply awesome,positive
Waste of money!,negative
Terrific purchase,positive
Simply awesome,positive
Perfect product!,positive
Simply awesome,positive
Loved it 🥰,positive
Nice,positive
Amazing Camera and battery,positive
Nice phone,positive
My mom gift,positive
Perfect 👍,positive
Performance super,positive
Nice Overall performance. Loved the inhand feel of the device 😍 Amazing camera quality,positive
Brilliant,positive
Perfect product!,positive
Simply awesome,positive
Must buy!,neutral
Mind-blowing purchase,neutral
Wonderful,positive
Fabulous!,positive
Mind-blowing purchase,neutral
Happy 😊,positive
Super,positive
"Just wow
Buy it now",positive
Best phone nice camera and performance,positive
"Pros
48MP Camera With 2x Zoom.
Dynamic Island.
USB-C Port.
Superb Design and Premium Build.

Cons
Only 60Hz Display Refresh Rate.
Slow Charging.
No Action Button.
No Always-on Display.

Rating
Camera - 4.5/5
Battery - 4/5
Performance - 4.5/5
Charging - 4/5
Display - 4/5
Design and Build - 4.5/5
Sound - 4/5
Software - 4.5/5
Value For Money - 4/5
Overall Experience - 4.5/5

Hit Like 👍 Button If This Review Really Helps You.",positive
I phone is phone nothing but it's a brand that makes the cost. Better should be more improved. And it gives heat.,positive
Simply awesome,positive
Fabulous!,positive
Worth every penny,positive
Brilliant,positive
Wonderful,positive
Wonderful,positive
"A Mixed Bag of Brilliance

The iPhone 15 flaunts an impressive camera setup, capturing moments with exceptional clarity and detail. However, users may encounter heating issues post 80% charge, which could disrupt prolonged usage. Occasionally, screen touch glitches may hamper the otherwise seamless user experience. Despite these setbacks, the iPhone 15 excels in performance and features. The standout Dynamic Island feature enhances productivity and personalization. Overall, the iPhone 15 is a...
READ MORE",positive
"Actually phone is very good this is my first iPhone i found heating at back panel at normal usage also, it should be fixed asap because giving 80k for premium feel and still not feels worthy after heating, it gains heat very fast and cools down too but due to heat battery drop is very fast .",neutral
Very good product,positive
Everything is good. Battery backup is hardly 6hrs will come while continuously usage. Camera is fantastic. In this iphone 60 hz refreshing rate is equals to 120hz refresh rate in android. Very light weight.,positive
Good quality product,positive
Wonderful,positive
Fabulous!,positive
Classy product,positive
Awesome buy,positive
"Am a Android User First Time Switching To IOS Really Its Awesome (iphone 15)
Camera 5/5
Battery 4/5
Design 5/5
Display 5/5
Speaker 5/5",positive
Android is better than ios,positive
Excellent purchase battery life is good for medium usage but can get you through the whole day on single charge. Am just loving this phone,positive
"It was on republic sale. I got value for money.
Piece is genuine.
Camera is best with 48 MP primary lens.
Performance is very good.
There are some restrictions otherwise it is very good.",positive
just like a Wow,positive
"The product is very nice just switched from iPhone XR. Was thinking to buy Samsung S24 but happy with this purchase.

The camera is awesome
A single charge will last for a day",positive
best camera phone 🥰,positive
Nice,positive
Best in the market!,positive
Excellent,positive
Worth every penny,positive
Just wow!,positive
Perfect product!,positive
Awesome,positive
Simply awesome,positive
Best in the market!,positive
Awesome,positive
Very nice phone im happy very good 👍,positive
Camera quality Superb,positive
"I can say the 60hz doesn't feel 60hz it is very smooth and may be because of apple
I was too worried about the 60 hz because I was switching from 120hz Android (realme GT master edition) to this one but after using iphone 15 I feel lags in my android 120hz
But I feel camera quality is avg but videography is next level
Love the speaker
Quality of display is just wow
Charging is also quite good and battery backup is also awesome
I am getting 5-6 hr gameplay(free fire+bgmi) from 100% to 25% qui...
READ MORE",positive
Very Best baseline iPhone ever. even if you have a iphone 14 it is still a upgrade. the new frosted glass and rounded edges make it premium feel. camera is just awesome. better than 14 pro camera. battery is just like iphone 14. type c is also a welcome with braided data cabel. just blue colour looks a lot like white.,positive
Very powerful phone. Camera is extremely good if one can adjust the settings. Battery backup is awesome. Design is handy. Features are cool. Price is reasonable.,positive
Fantastic,positive
Worth every penny,positive
Excellent,positive
Perfect product!,positive
Wonderful,positive
Great product,positive
Super!,positive
"Phone is good built lightweight,handy, camera good quality, display great phone is nice if love it's OS and can spend that much",positive
Good camera,positive
"Very good experience, highly recommended for upgrade",positive
"Good, phone gets heated while charging.",positive
Awesome experience. thanks to flipkart,positive
"The only thing I like about this phone is the camera quality and that is the reason I bought this phone.
I already have an Android phone which is less than 50% of its price and still is better in every aspect except the camera.
Well! Definitely, iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks.
While iphone 15 only has 60hz screen which feels choppy, all other phones have 120-144hz scr...
READ MORE",positive
Not justifying the price .. bit disappointed about the display (refresh rate should be high).. no differences between 12 and 15 except brightness .. those who willing to upgrade plz be ok with your 13 .. there is very low difference in day to day life use..but the Dynamic Island is awesome it is way better than expected..,positive
Value-for-money,neutral
Decent product,neutral
Great product,positive
Value-for-money,neutral
Excellent,positive
Just okay,positive
Wonderful,positive
Smooth 🔥,neutral
Having a great time,positive
"High quality camera

The iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.",positive
"AFTER ONE WEEK OVERALL PERFOMANCE IS GOOD BUT FEW APPLE MUST IMPROVE 1. Design very Round on Corner gives a feel of baby Toy, 2. Some thing must improve in iOS 17 its very Classic in this mordern era like Auto Rotate not possible on photos you will have to go home select rotate lock etc.",positive
I Love iPhone,positive
Nice,positive
Loving it!!! Delivery was quick .,positive
Device is getting too hot. It's looking like you have the burning stick.,positive
Classy product,positive
Excellent,positive
Classy product,positive
Very Good,positive
Just wow!,positive
Pretty good,positive
Super!,positive
Does the job,neutral
"Awasome Phone
Awasome Camera
🐼........Rest is History Dudu",neutral
Good stuff.. bss thora battery cazual hai 💀,positive
Good mobile but charging is getting down fasttt,positive
All are good 😊,positive
nice one,positive
Terrific purchase,positive
Terrific,positive
Classy product,positive
Worth every penny,positive
Must buy!,neutral
Looking Like Monster 🤍💙,positive
Awesome I switched from Android it's great feeling just go for it 🥰🥰🥰,positive
"Mind-blowing
I love it
Everything is greattt
Very good battery backup, best camera, very good design.
Update after using for 1 week:
I legit have to charge my phone for 2times in a day else everything is great",positive
Very good product,positive
Heating like heater,positive
Superb phone ❤️ I am using last 5 year of iPhone,positive
Good camera,positive
Highly recommended,positive
Super!,positive
Excellent,positive
Best in the market!,positive
Terrible product,negative
Super!,positive
Mind-blowing purchase,neutral
The colour blue is so good and the battery life is so long as compared to 14 the camera is much better than 14series best phone I experienced very good,positive
Good,positive
Just wowwww ❤️,neutral
Best deal,positive
"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the ios
It is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.",positive
Verrrry good product,positive
Perfect product!,positive
Classy product,positive
Great product,positive
Mind-blowing purchase,neutral
Great product,positive
Fabulous!,positive
"This is adorable
Most important C type charger cable
I am happy with iPhones 15 series ⭐️⭐️⭐️⭐️⭐️",positive
Best phone,positive
"I am very happy to buy it because its camera is very good and its performance is also very good, its features are also very good and will never make you bored. 😍",positive
"Bought 256gb green variant 😍,
new to ios
IOS is very fluid and smooth
Design is awesome, i took green its looking better in hand than other colours and dynmaic island adds to it.
No heatings issues
Perfromance is good
Charges faster than pixel
Camera and Video recording is very good

Coming from pixel 7a where pixel is one of worst device out there having bad charging, worst battery backup even heats up in normal usage in our country.",neutral
Excellent phone,positive
Mind-blowing purchase,neutral
Perfect product!,positive
Must buy!,neutral
Just wow!,positive
Great product,positive
Genuine product. Thank you flipkart,positive
Ok,positive
"The iPhone 15 features a 48-megapixel main camera sensor
It is powered by the A16 Bionic SoC
The iPhone 15 now comes with Dynamic I",positive
Best Iphone,positive
I loved,positive
Highly recommended,positive
Best in the market!,positive
Just wow!,positive
Mind-blowing purchase,neutral
Simply awesome,positive
Nice product but battery issues please solow,positive
Awesome quality but phone is little heating,positive
Best deal,positive
"Good display, improved display brightness, awesome camera",positive
Great product:),positive
Nice Product,positive
Highly recommended,positive
Excellent,positive
Fabulous!,positive
Must buy!,neutral
Simply awesome,positive
Awesome,positive
U all know about iPhone 15 so am very impressed with blue colour damn beautiful ❤️,positive
Good,positive
"Awesome phone, thanks to Flipkart for quick delivery. This is my 1st iOS experience so very excited .",positive
Awesome,positive
Must buy!,neutral
Terrific purchase,positive
"Great phone!
Thank you flipkart.",positive
for me its 10 out of 10✨,neutral
Beautiful phone,positive
Very Fabulous,positive
Very good product,positive
Perfect product!,positive
Simply awesome,positive
Excellent,positive
Simply awesome,positive
Simply awesome,positive
Super experience😘😘,positive
Awesome...,neutral
Amazing camera but battery perform not good,negative
Upgraded from iPhone 12 to 15 every thing is nice but little bit heating issues is coming while charging the phone I requesting apple to kindly resolve this issue in next update.,positive
"Body gets heated up. Apart from that, all good! Type C charger is a good relief! And amazing delivery by FlipKart too!",positive
NICE,positive
Must buy!,neutral
Fabulous!,positive
Perfect product!,positive
Worth every penny,positive
Simply awesome,positive
Brilliant,positive
Nice product but battery 🔋 quality Bad,negative
Awesome Gaming and Photography Experience,positive
It's an awesome experience but if ur a vlogger u need and android must but other wise it's a great iphone till date👍,positive
Nice prod,positive
Most useful device,positive
Nice product,positive
Terrific purchase,positive
Just wow!,positive
Highly recommended,positive
Terrific,positive
Worth every penny,positive
Super!,positive
Excellent phone battery bakeup is also good,positive
Wonderful 👌🏻,positive
Very good handset once you purchase not change the Apple brand. 💯 original apple brand and authorised for Flipkart seller.,positive
Osm product,neutral
All good in this n camera superb,positive
Amazing product .camera quality is decent Sound quality is amazing Display quality is superb.battery quality good overall very good.,positive
Night mode is so smooth,neutral
Awesome Phone with awesome camera. Updated from iphone 13 to 15 I love this.,positive
Highly recommended,positive
Must buy!,neutral
Awesome,positive
Perfect product!,positive
Worth every penny,positive
Brilliant,positive
Must buy!,neutral
Best in the market!,positive
"As always fast delivery by flipkart,Stunning design, powerful performance, and exceptional camera quality define the iPhone 15. With its sleek build, vibrant display, and lightning-fast chip, it's a flagship smartphone that delivers on all fronts. Capture breathtaking photos, enjoy seamless multitasking, and experience all-day battery life. The iPhone 15 is a premium choice for those who demand the best.

Go for it without any thinking if you are trying for premium segment.",positive
good,positive
Over all good after 20 days use I like it,positive
Awesome Product Just Love It,positive
Very good,positive
Bery bery good,positive
Worth every penny,positive
Good quality product,positive
Brilliant,positive
Wonderful,positive
Best in the market!,positive
Fabulous!,positive
Nice,positive
Brilliant,positive
Awsm,neutral
Nice phone,positive
Osm,neutral
Loved it,positive
Amazing camera pic 😍,positive
Highly recommended,positive
Brilliant,positive
Must buy!,neutral
Wonderful,positive
Great product,positive
Fabulous!,positive
Terrific,positive
Amazing camera quality,positive
Good,positive
Nice,positive
Best quality,positive
Best,positive
"Greatest Phone ever.
Apple rocks.",positive
Mobile I got from Flipkart is really original and genuine,positive
Worth every penny,positive
Must buy!,neutral
Must buy!,neutral
Simply awesome,positive
Great product,positive
Brilliant,positive
Perfect product!,positive
I have used this 1st time and never had an iPhone before this one and it's amazing just loved it...,positive
good 📱,positive
Nice camera and battery also.,positive
Camera Quality 👌💯👌,neutral
"1. It is the best phone and worth every rupee in terms of its user interface, unique eco system, siri and some other options which can be copied by other manufacturers but cant replicate (if incase a person thinks iphones are bit overpriced - they are pricing for their unique features)
2. In terms of camera, display, performance and in every other aspect it gives best output.
3. In terms of this iPhone 15 series, the upgrade in this series is of leaps and bounds compared to other upgrades ...
READ MORE",positive
"This is my first mobile from apple. Powerfull performance, very good camera..next level display.. 5 out of 5",positive
Best Camera,positive
Just wow,positive
Mind-blowing purchase,neutral
Highly recommended,positive
Just wow!,positive
Highly recommended,positive
Terrific,positive
Brilliant,positive
Terrific purchase,positive
Worth every penny,positive
Phone is super duper very nice hasome wonderfull miracle,positive
Best phone,positive
Superb Performance ✨,positive
"The innovative new design features back glass that has color infused throughout the material. A custom dual ion-exchange process for the glass, and an aerospace-grade aluminum enclosure, help make iPhone 15 incredibly durable. Dependably durable.",positive
Money worth it,positive
Good Performance.,positive
Wonderful,positive
Really Nice,positive
Super!,positive
Wonderful,positive
Just wow!,positive
Excellent,positive
Better,positive
"Genuine product received.. the product is awesome.. no need to tell its worthiness because it is from Apple Inc.😊👍🏻
Thanks flipkart for prompt delivery😊",positive
The Experience with new features is Amazing . Definately iphone 15 is better than 13 or 14 .,positive
Good,positive
Quality deserves praise,positive
Good photo sutu,positive
"Long time android user. Thought of giving iOS a try.
And now I understand why apple is apple. The highlight is the interaction between the hardware and the software.
Android feels clunky in front of iOS. (Have used all Android skins and currently on s24+)",positive
Must buy!,neutral
Best in the market!,positive
Excellent,positive
Just okay,positive
Best in the market!,positive
Terrific,positive
Great product,positive
It can be more better if display refresh rate has 120hz,positive
Honest review after using it for a month! Best phone of apple so far camera battery performance are on top notch!,positive
Pwoli item,neutral
"Phone super
Battery poor",positive
Good camera and battery but ios is still far behind than Android in terms of ease.,positive
Over heating problem,negative
Great product,positive
Just wow!,positive
Fabulous!,positive
Delightful,positive
Very Good,positive
Good,positive
This phone has comfy feel,neutral
amazing product,positive
Nice phone iam happy,positive
"All over i find it good except the heating issues, of course its type C but when you charge it with other cable it will heat like hell, and if you take it out in noon time and take photos ,it will heat else there were no performance or body shading issues ,the in hand feeling is awesome",positive
Good,positive
Highly recommended,positive
Terrific purchase,positive
